monthly_income_amt,education_level_cd,gender_cd,age,marital_status_cd,job_position_cd,car_own_flg,work_exp_cd,accnt_cnt,credit_amt_max,credit_card_sum,accnt_open_due_cnt,wrst_delqbalance_max,cred_av
25.0,SCH,M,29,MAR,SPC,0,1,2.0,41.0,41.0,0.0,3.751,24.655
65.0,SCH,M,34,MAR,WRK,0,0,1.0,25.0,0.0,0.0,0.0,25.0
150.0,SCH,M,41,MAR,BIS,0,0,2.0,94.0,0.0,0.0,0.018,56.875
30.0,SCH,M,53,MAR,BIS,1,0,7.0,537.5,14.0,0.0,0.673,243.198
30.0,SCH,M,24,UNM,UMN,0,0,1.0,25.03,0.0,0.0,1.0,25.03
20.0,SCH,F,31,MAR,SPC,0,0,6.0,82.0,145.0,0.0,1.933,49.71
70.0,GRD,M,33,UNM,SPC,0,1,2.0,85.0,151.0,0.0,0.0,75.5
20.0,SCH,M,54,MAR,WRK,1,2,3.0,34.94,0.0,0.0,1.931,16.803
40.0,UGR,F,59,WID,PNA,0,0,10.0,345.34,65.0,0.0,4.485,155.626
40.0,SCH,F,25,MAR,SPC,0,1,32.0,45.22,0.0,1.0,7.25,9.57
34.0,SCH,F,29,UNM,SPC,0,1,10.0,170.5,144.0,0.0,4.397,53.568
15.0,SCH,M,51,MAR,SPC,0,1,2.0,11.95,0.0,0.0,0.043,8.275
15.0,UGR,F,28,MAR,WRK,1,1,14.0,77.4,5.0,0.0,0.0,25.924
18.0,GRD,F,27,MAR,SPC,0,1,7.0,85.74,42.0,0.0,2.091,28.672
9.85,GRD,M,30,MAR,SPC,0,0,3.0,29.68,0.0,0.0,13.661,19.137
21.0,UGR,F,57,MAR,WRP,0,2,12.0,130.0,86.36,0.0,3.796,47.68
35.0,SCH,M,29,MAR,SPC,0,2,12.0,210.0,0.0,0.0,6.185,53.056
9.0,SCH,F,44,WID,SPC,0,0,7.0,28.54,25.0,1.0,1.392,20.806
25.0,SCH,M,38,MAR,UMN,0,2,5.0,180.0,0.0,0.0,4.759,82.648
25.0,GRD,M,25,UNM,SPC,0,0,2.0,35.9,0.0,0.0,0.0,20.29
15.0,SCH,F,32,MAR,WRK,0,0,1.0,45.0,0.0,0.0,40.76,45.0
40.0,GRD,M,21,MAR,SPC,0,1,1.0,56.73,0.0,0.0,0.0,56.73
100.0,GRD,M,35,MAR,SPC,1,1,31.0,30.0,0.0,0.0,23.754,11.172
30.0,SCH,M,23,MAR,SPC,0,0,3.0,9.76,0.0,0.0,0.0,6.92
50.0,UGR,M,27,UNM,SPC,0,0,1.0,5.0,5.0,0.0,0.0,5.0
15.0,GRD,M,28,UNM,NOR,1,0,1.0,380.0,0.0,0.0,0.0,380.001
66.5,SCH,F,43,MAR,INP,1,2,14.0,100.0,15.0,0.0,0.0,26.643
45.0,GRD,M,41,CIV,WRK,0,1,11.0,7.0,0.0,0.0,5.541,4.182
50.0,SCH,M,28,UNM,BIU,1,0,1.0,1.0,0.0,0.0,0.0,2.5
60.0,SCH,F,39,UNM,SPC,0,0,3.0,75.01,29.0,0.0,11.528,44.083
30.0,UGR,M,27,UNM,WRK,0,1,4.0,100.0,10.0,0.0,1.548,49.157
70.0,SCH,M,31,MAR,WRK,0,0,26.0,150.0,100.0,0.0,52.146,25.136
35.0,UGR,F,59,MAR,SPC,0,0,10.0,187.46,150.0,0.0,0.0,111.134
20.0,UGR,M,44,MAR,SPC,0,1,17.0,248.37,20.0,0.0,2.932,60.432
60.0,GRD,F,34,MAR,SPC,0,2,9.0,779.0,201.5,0.0,0.0,211.031
28.0,SCH,M,46,MAR,SPC,0,2,20.0,432.42,0.0,0.0,7.631,113.202
100.0,GRD,F,42,MAR,DIR,0,1,12.0,360.0,495.0,0.0,0.0,122.508
50.0,GRD,F,57,UNM,SPC,0,2,6.0,750.0,0.0,0.0,0.0,299.117
100.0,GRD,M,37,UNM,SPC,1,1,15.0,800.0,7.5,0.0,0.0,83.928
30.0,SCH,F,62,WID,UMN,0,1,9.0,306.33,160.0,0.0,55.75,85.4
60.0,SCH,F,29,DIV,BIS,1,0,8.0,1113.0,283.0,0.0,6.331,188.543
28.0,SCH,F,36,DIV,SPC,0,2,2.0,15.0,15.0,0.0,0.0,10.68
42.5,SCH,M,32,DIV,SPC,0,1,24.0,550.0,0.0,0.0,1.39,89.253
35.0,GRD,M,25,UNM,SPC,0,0,3.0,33.61,0.0,0.0,0.0,33.61
20.0,SCH,M,30,MAR,SPC,0,0,1.0,3.18,3.18,0.0,0.13,3.18
70.0,SCH,M,45,MAR,SPC,0,0,3.0,208.0,208.0,0.0,13.769,85.767
22.0,UGR,M,26,UNM,SPC,0,1,4.0,10.84,0.0,0.0,0.0,7.36
100.0,GRD,M,41,MAR,SPC,0,1,1.0,4000.0,0.0,0.0,0.0,3999.98
60.0,SCH,M,25,UNM,WRK,0,0,2.0,20.83,0.0,0.0,0.0,20.745
40.0,GRD,F,40,UNM,UMN,0,1,16.0,410.0,154.0,0.0,10.665,105.09
55.0,UGR,F,36,UNM,SPC,0,2,6.0,1500.0,0.01,0.0,0.0,332.296
38.0,SCH,M,33,MAR,SPC,0,0,9.0,150.0,167.5,0.0,0.0,55.122
32.0,GRD,M,26,UNM,SPC,0,0,3.0,3.3,0.0,1.0,4.303,2.5
200.0,GRD,M,34,UNM,INP,1,0,1.0,502.68,0.0,0.0,0.0,502.68
50.0,SCH,M,23,UNM,SPC,0,0,1.0,57.13,57.13,0.0,0.0,57.13
75.0,GRD,M,36,CIV,DIR,0,1,9.0,300.0,0.0,0.0,41.44,100.388
25.0,GRD,M,41,MAR,SPC,0,0,7.0,350.0,0.0,0.0,2.961,74.439
20.0,GRD,M,23,UNM,SPC,0,1,2.0,22.0,0.0,0.0,0.0,22.0
30.0,SCH,F,70,MAR,PNA,0,0,9.0,200.01,0.0,0.0,0.054,85.665
50.0,GRD,M,58,MAR,SPC,0,0,13.0,429.0,102.0,0.0,1.863,83.616
27.0,SCH,M,37,UNM,SPC,1,0,7.0,354.0,60.0,0.0,8.349,109.388
52.0,UGR,M,35,DIV,UMN,0,2,11.0,770.0,178.5,0.0,0.151,161.859
35.0,SCH,M,21,UNM,SPC,0,1,1.0,18.96,0.0,0.0,0.0,18.96
17.0,SCH,F,58,WID,PNA,0,0,6.0,159.4,20.0,0.0,72.047,57.19
45.0,GRD,F,39,MAR,WOI,1,2,2.0,58.0,58.0,1.0,3.797,41.375
15.0,SCH,M,63,DIV,PNV,0,0,1.0,716.08,0.0,0.0,0.0,716.082
17.0,UGR,M,30,UNM,SPC,0,0,2.0,5.0,0.0,0.0,18.668,4.07
25.0,SCH,M,22,UNM,NOR,0,0,3.0,31.69,0.0,0.0,0.0,26.345
20.0,GRD,F,23,UNM,ATP,0,0,1.0,2.0,0.0,0.0,0.0,2.5
30.0,SCH,F,39,UNM,UMN,0,2,10.0,46.96,0.0,0.0,0.0,19.601
50.0,UGR,M,33,UNM,BIS,0,0,17.0,140.0,195.0,0.0,6.993,25.585
18.6,SCH,M,24,UNM,SPC,0,1,4.0,25.46,0.0,0.0,4.329,14.717
30.0,GRD,M,43,MAR,SPC,0,1,2.0,139.03,25.0,0.0,0.0,82.015
80.0,GRD,F,33,MAR,UMN,0,0,11.0,2287.0,260.5,0.0,0.0,390.975
24.0,UGR,F,24,MAR,SPC,0,0,2.0,15.34,0.0,0.0,1.45,11.315
60.0,UGR,M,26,UNM,SPC,1,0,9.0,100.0,81.5,0.0,10.958,45.646
35.0,SCH,F,33,MAR,SPC,0,2,8.0,75.0,0.0,0.0,10.513,39.446
50.0,GRD,F,32,MAR,UMN,1,1,5.0,250.0,150.0,0.0,4.933,124.2
35.0,GRD,F,34,MAR,NOR,0,0,1.0,15.0,15.0,1.0,3.8,15.0
7.0,UGR,F,23,MAR,SPC,1,0,2.0,341.45,0.0,0.0,0.0,182.51
35.0,UGR,M,38,UNM,SPC,0,0,2.0,21.15,15.0,1.0,0.0,18.075
20.0,GRD,F,34,UNM,SPC,0,0,1.0,0.0,0.0,0.0,0.0,15.0
30.0,GRD,F,21,MAR,SPC,1,0,3.0,50.0,50.0,0.0,0.0,34.223
20.0,SCH,F,34,WID,WRK,0,0,3.0,39.4,19.63,0.0,0.0,24.693
100.0,GRD,M,51,MAR,BIS,0,0,5.0,21.31,0.0,0.0,0.0,15.757
20.0,SCH,M,30,MAR,SPC,0,2,18.0,550.0,0.0,0.0,0.006,69.548
40.0,SCH,M,49,UNM,WRK,1,0,9.0,650.36,0.0,0.0,17.2,203.146
37.0,SCH,F,35,MAR,UMN,0,1,22.0,450.96,32.0,1.0,0.901,45.81
45.0,SCH,M,36,UNM,UMN,0,0,1.0,90.89,0.0,0.0,0.0,90.89
32.5,UGR,F,24,MAR,SPC,0,0,2.0,25.7,25.0,0.0,0.0,25.35
35.0,SCH,M,41,MAR,SPC,0,1,8.0,1000.0,73.0,0.0,105.578,250.033
50.0,GRD,M,27,UNM,SPC,0,0,1.0,63.0,63.0,0.0,0.0,63.0
75.0,SCH,M,29,UNM,BIS,0,0,5.0,30.99,0.0,0.0,8.3,15.998
60.0,GRD,M,30,UNM,SPC,0,1,6.0,1580.0,15.0,0.0,0.0,735.253
42.0,SCH,M,30,UNM,SPC,0,0,8.0,39.95,0.0,0.0,3.235,22.807
27.0,GRD,M,32,MAR,WRK,0,1,1.0,9.22,0.0,1.0,8.388,9.22
44.0,GRD,F,27,UNM,SPC,0,0,1.0,28.85,0.0,0.0,2.725,28.85
22.0,SCH,M,34,UNM,SPC,0,0,2.0,8.03,0.0,0.0,5.234,8.03
50.0,SCH,M,32,DIV,BIU,0,0,8.0,450.0,135.0,0.0,0.0,118.223
40.0,UGR,M,20,UNM,BIS,0,0,2.0,3.0,0.0,0.0,0.0,2.5
38.0,SCH,F,26,UNM,SPC,0,1,6.0,33.87,15.0,0.0,3.21,20.72
35.0,SCH,M,38,MAR,SPC,1,2,10.0,390.57,20.0,0.0,3.565,137.197
30.0,GRD,F,51,MAR,UMN,0,2,13.0,400.0,80.0,1.0,10.492,113.841
40.0,GRD,F,36,UNM,UMN,0,0,11.0,100.55,0.0,0.0,10.072,33.443
100.0,GRD,M,37,MAR,SPC,1,1,8.0,300.0,362.0,0.0,21.062,107.904
8.0,SCH,F,57,WID,PNA,0,0,2.0,30.73,0.0,0.0,0.0,24.46
16.5,SCH,F,43,DIV,SPC,0,0,2.0,13.5,0.0,0.0,0.04,10.6
35.0,SCH,F,69,WID,BIS,1,0,20.0,55.12,0.0,1.0,3.834,26.12
